,precision,recall,f1-score,support
banana,0.9985011241568823,0.99925,0.9988754217168562,4000.0
coconut,0.9962358845671268,0.9925,0.9943644333124608,4000.0
coffee,0.945863900834809,0.93475,0.9402741103985918,4000.0
cotton,0.9304826206551637,0.93025,0.9303662957869734,4000.0
jute,0.960974397216008,0.9665,0.9637292783248161,4000.0
maize,0.899096017591009,0.92,0.909427900654887,4000.0
mulberry,0.942929292929293,0.9335,0.9381909547738694,4000.0
potato,0.9955022488755623,0.996,0.9957510622344414,4000.0
pulses,0.98572501878287,0.984,0.9848617540347804,4000.0
rice,0.9467037130588533,0.937,0.9418268626711899,4000.0
sugarcane,0.9992494370778083,0.9985,0.9988745779667375,4000.0
tea,0.9625800098473658,0.9775,0.9699826345819896,4000.0
wheat,0.9541677159405691,0.94725,0.9506962739932254,4000.0
accuracy,0.9628461538461538,0.9628461538461538,0.9628461538461538,0.9628461538461538
macro avg,0.9629239524256401,0.9628461538461538,0.9628631969577555,52000.0
weighted avg,0.9629239524256401,0.9628461538461538,0.9628631969577552,52000.0
